Name;Sector;Lat;Long;PM-low(Gg/year);PM-high(Gg/year);PM-mean(Gg/year)
KLABIN 5 - SC;Paper and cellulose;-27.546573;-50.364285;0.022010206;2.465143059;1.243576632
KLABIN 6 - BA;Paper and cellulose;-12.293665;-38.965325;0.022010206;2.465143059;1.243576632
KLABIN 7 - PE;Paper and cellulose;-7.588721;-35.006407;0.022010206;2.465143059;1.243576632
KLABIN 8 - RJ;Paper and cellulose;-22.588770;-43.016729;0.022010206;2.465143059;1.243576632
KLABIN 9 - SC;Paper and cellulose;-26.894836;-48.710662;0.022010206;2.465143059;1.243576632
KLABIN 10 - SP;Paper and cellulose;-23.225062;-47.026950;0.022010206;2.465143059;1.243576632
KLABIN 11 - SP;Paper and cellulose;-23.172452;-46.929145;0.022010206;2.465143059;1.243576632
KLABIN 12 - SC;Paper and cellulose;-27.802817;-50.362837;0.022010206;2.465143059;1.243576632
KLABIN 13 - SC;Paper and cellulose;-27.751155;-50.337534;0.022010206;2.465143059;1.243576632
KLABIN 14 - PR;Paper and cellulose;-24.306558;-50.610461;0.022010206;2.465143059;1.243576632
KLABIN 15 - SC;Paper and cellulose;-27.512968;-50.116357;0.022010206;2.465143059;1.243576632
KLABIN 16 - SP;Paper and cellulose;-22.687395;-47.674515;0.022010206;2.465143059;1.243576632
KLABIN 17 - MG;Paper and cellulose;-20.421737;-42.899126;0.022010206;2.465143059;1.243576632
KLABIN 18 - RS;Paper and cellulose;-29.782408;-51.119724;0.022010206;2.465143059;1.243576632
LWARCEL - SP;Paper and cellulose;-22.570501;-48.776750;0.05575275;6.244308;3.150030375
MELHORAMENTOS PAPÉIS - SP;Paper and cellulose;-23.539539;-46.270172;0.016356375;1.831914;0.924135188
MELHORAMENTOS PAPÉIS - SP;Paper and cellulose;-23.370477;-46.759478;0.016356375;1.831914;0.924135188
NOBRECEL - SP;Paper and cellulose;-22.899835;-45.349155;0.0154485;1.730232;0.87284025
PRIMO TEDESCO - SC;Paper and cellulose;-26.782639;-51.044326;0.007410625;0.82999;0.418700313
PRIMO TEDESCO - RS;Paper and cellulose;-29.961783;-51.189878;0.007410625;0.82999;0.418700313
SANTHER  -SP;Paper and cellulose;-23.533242;-46.547686;0.0125;1.4;0.70625
SANTHER  - MG;Paper and cellulose;-18.716729;-42.238401;0.0125;1.4;0.70625
SANTHER - RS;Paper and cellulose;-30.167960;-51.333678;0.0125;1.4;0.70625
SANTHER - SP;Paper and cellulose;-22.902531;-46.546847;0.0125;1.4;0.70625
SUZANO - SP;Paper and cellulose;-23.520544;-46.295746;0.075725857;8.481296;4.278510929
SUZANO - SP;Paper and cellulose;-23.496345;-46.330388;0.075725857;8.481296;4.278510929
SUZANO - SP;Paper and cellulose;-23.663960;-46.850741;0.075725857;8.481296;4.278510929
SUZANO - SP;Paper and cellulose;-22.568770;-47.404516;0.075725857;8.481296;4.278510929
SUZANO - BA;Paper and cellulose;-12.866852;-38.383371;0.075725857;8.481296;4.278510929
SUZANO - BA;Paper and cellulose;-18.039745;-39.924039;0.075725857;8.481296;4.278510929
SUZANO - MA;Paper and cellulose;-5.545537;-47.468471;0.075725857;8.481296;4.278510929
CENIBRA -MG;Paper and cellulose;-19.220002;-42.482508;0.041374357;4.633928;2.337651179
CENIBRA -MG;Paper and cellulose;-19.222677;-42.476795;0.041374357;4.633928;2.337651179
CENIBRA - MG;Paper and cellulose;-19.320151;-42.391747;0.041374357;4.633928;2.337651179
CENIBRA - MG;Paper and cellulose;-19.319585;-42.368663;0.041374357;4.633928;2.337651179
CENIBRA -MG;Paper and cellulose;-19.419312;-42.406586;0.041374357;4.633928;2.337651179
CENIBRA - MG;Paper and cellulose;-19.768797;-43.028113;0.041374357;4.633928;2.337651179
CENIBRA - ES;Paper and cellulose;-19.831908;-40.063578;0.041374357;4.633928;2.337651179
GRUPO ORSA - SP;Paper and cellulose;-23.508624;-46.871881;0.027406;3.069472;1.548439
IGUAÇU -PR;Paper and cellulose;-25.532220;-49.203850;0.007049;0.789488;0.3982685
IGUAÇU -PR;Paper and cellulose;-24.509953;-49.952286;0.007049;0.789488;0.3982685
IGUAÇU -SC;Paper and cellulose;-27.398392;-51.238227;0.007049;0.789488;0.3982685
IGUAÇU -SC;Paper and cellulose;-27.168166;-50.797874;0.007049;0.789488;0.3982685
NORSKE SKOG PISA -PR;Paper and cellulose;-24.282425;-49.736546;0.043452;4.866624;2.455038
STORA ENSO - SP;Paper and cellulose;-23.562232;-46.661033;0.0206025;2.30748;1.16404125
VERACEL - BA;Paper and cellulose;-16.371053;-39.588851;0.1375445;15.404984;7.77126425
ALTA MOGIANA;Bagasse TPP;-20.567944;-47.868641;0.13824;2.02176;1.08
BARRALCOOL;Bagasse TPP;-15.033815;-57.214277;0.055296;0.808704;0.432
BATATAIS;Bagasse TPP;-20.745982;-47.569336;0.00718848;0.10513152;0.05616
CAETÉ;Bagasse TPP;-9.776442;-36.086844;0.06598656;0.96505344;0.51552
COLOMBO ARIRANHA;Bagasse TPP;-21.213352;-48.842033;0.1944576;2.8439424;1.5192
CORONA;Bagasse TPP;-21.364469;-48.238975;0.0331776;0.4852224;0.2592
ESTER;Bagasse TPP;-22.657480;-47.211152;0.08552448;1.25079552;0.66816
CENTRAL ENERGÉTICA RIBEIRÃO PRETO (ANTIGA GALO BRAVO);Bagasse TPP;-21.141021;-47.878869;0.0165888;0.2426112;0.1296
GALVANI;Bagasse TPP;-22.758781;-47.155066;0.0211968;0.3100032;0.1656
IRACEMA;Bagasse TPP;-22.586025;-47.529168;0.0258048;0.3773952;0.2016
VIRGOLINO DE OLIVEIRA - ITAPIRA;Bagasse TPP;-22.411839;-46.808829;0.01069056;0.15634944;0.08352
JARDEST;Bagasse TPP;-21.032484;-47.775844;0.0147456;0.2156544;0.1152
JUNQUEIRA;Bagasse TPP;-20.048841;-47.748235;0.01327104;0.19408896;0.10368
MARACAÍ;Bagasse TPP;-22.575942;-50.656559;0.086298624;1.262117376;0.674208
MB;Bagasse TPP;-20.729511;-48.055077;0.03022848;0.44209152;0.23616
NARDINI;Bagasse TPP;-21.184680;-48.654292;0.0995328;1.4556672;0.7776
SANTA CRUZ AB (ANTIGA OMETTO);Bagasse TPP;-21.754836;-48.078402;0.15925248;2.32906752;1.24416
USINA DA PEDRA;Bagasse TPP;-21.241122;-47.566889;0.064512;0.943488;0.504
RAFARD;Bagasse TPP;-23.009110;-47.532166;0.09216;1.34784;0.72
UNIVALEM;Bagasse TPP;-23.009110;-47.532166;0.0147456;0.2156544;0.1152
PUMATY;Bagasse TPP;-8.627504;-35.528606;0.014819328;0.216732672;0.115776
VALE DO ROSÁRIO;Bagasse TPP;-20.740942;-48.055163;0.1787904;2.6148096;1.3968
VIRALCOOL;Bagasse TPP;-21.049411;-48.262212;0.036864;0.539136;0.288
SÃO JOÃO;Bagasse TPP;-22.428728;-47.359755;0.0221184;0.3234816;0.1728
SÃO JOSÉ;Bagasse TPP;-22.491557;-48.782191;0.156312576;2.286071424;1.221192
SÃO JOSÉ;Bagasse TPP;-22.860862;-47.624307;0.00884736;0.12939264;0.06912
SÃO LUIZ;Bagasse TPP;-22.026160;-47.429182;0.12976128;1.89775872;1.01376
SÃO MARTINHO;Bagasse TPP;-21.320081;-48.120490;0.1345536;1.9678464;1.0512
BARRA GRANDE DE LENÇÓIS;Bagasse TPP;-22.627929;-48.752271;0.11593728;1.69558272;0.90576
LDC BIOENERGIA LEME (ANTIGA COINBRA - CRESCIUMAL);Bagasse TPP;-22.205258;-47.386937;0.07299072;1.06748928;0.57024
J PILON;Bagasse TPP;-23.171224;-47.746025;0.00700416;0.10243584;0.05472
SÃO FRANCISCO;Bagasse TPP;-21.108655;-48.078612;0.04644864;0.67931136;0.36288
LUCÉLIA;Bagasse TPP;-21.724491;-51.021143;0.02893824;0.42322176;0.22608
BORTOLO CAROLO;Bagasse TPP;-21.009087;-47.993845;0.0147456;0.2156544;0.1152
FURLAN;Bagasse TPP;-22.763612;-47.411725;0.00663552;0.09704448;0.05184
SANTA ADÉLIA;Bagasse TPP;-21.252346;-48.325677;0.0774144;1.1321856;0.6048
RUETTE;Bagasse TPP;-21.044503;-48.720099;0.0516096;0.7547904;0.4032
IPIRANGA FILIAL DESCALVADO;Bagasse TPP;-21.910594;-47.617150;0.00557568;0.08154432;0.04356
IPIRANGA - MOCOCA;Bagasse TPP;-21.467198;-47.002057;0.00774144;0.11321856;0.06048
SÃO MANOEL;Bagasse TPP;-22.742186;-48.570088;0.02727936;0.39896064;0.21312
ALBERTINA;Bagasse TPP;-21.147299;-47.989209;0.0078336;0.1145664;0.0612
SANTA ELISA - UNIDADE II;Bagasse TPP;-21.151098;-48.007881;0.0073728;0.1078272;0.0576
PAINEIRAS;Bagasse TPP;-21.011633;-40.830280;0.00589824;0.08626176;0.04608
SÃO JOÃO DA BOA VISTA;Bagasse TPP;-21.974787;-46.793732;0.129024;1.886976;1.008
UNIALCO;Bagasse TPP;-21.264410;-50.636443;0.00663552;0.09704448;0.05184
SANTA CÂNDIDA;Bagasse TPP;-22.154430;-48.519573;0.0534528;0.7817472;0.4176
IBITIÚVA BIOENERGÉTICA (ANTIGA DESTILARIA ANDRADE);Bagasse TPP;-21.051442;-48.264082;0.0608256;0.8895744;0.4752
MANDU;Bagasse TPP;-20.324892;-48.283319;0.165888;2.426112;1.296
GUARANI - CRUZ ALTA;Bagasse TPP;-20.744737;-48.909426;0.11943936;1.74680064;0.93312
SÃO JOSÉ DA ESTIVA;Bagasse TPP;-21.486870;-49.185911;0.078336;1.145664;0.612
PANTANAL;Bagasse TPP;-15.934350;-54.962518;0.009216;0.134784;0.072
JACIARA;Bagasse TPP;-15.976043;-54.950845;0.00516096;0.07547904;0.04032
BAZAN;Bagasse TPP;-21.007754;-48.035624;0.01880064;0.27495936;0.14688
SÃO DOMINGOS;Bagasse TPP;-21.102280;-48.926866;0.0221184;0.3234816;0.1728
MOEMA;Bagasse TPP;-20.254304;-49.292440;0.0442368;0.6469632;0.3456
DIANA;Bagasse TPP;-21.474105;-49.934966;0.005295514;0.077446886;0.0413712
ÁGUA BONITA;Bagasse TPP;-22.736898;-50.580984;0.0313344;0.4582656;0.2448
DESTILARIA GUARICANGA;Bagasse TPP;-22.106087;-49.435508;0.00294912;0.04313088;0.02304
DESTILARIA MALOSSO;Bagasse TPP;-21.565808;-48.814681;0.0073728;0.1078272;0.0576
CORACI;Bagasse TPP;-22.739705;-49.732398;0.002550989;0.037308211;0.0199296
TROMBINI;Bagasse TPP;-27.038020;-50.909358;0.008976384;0.131279616;0.070128
BENÁLCOOL;Bagasse TPP;-21.276938;-50.819852;0.00774144;0.11321856;0.06048
SANTA LÚCIA;Bagasse TPP;-22.394696;-47.389969;0.00811008;0.11860992;0.06336
